id_pagamento,id_pedido,valor_pago,data_pagamento,metodo_pagamento
1,9388,962.95,2023-05-02,Cartão de Débito
2,875,1722.5,2023-12-24,Cartão de Crédito
3,4373,1550.75,2024-07-02,Pix
4,9850,673.43,2022-09-28,Cartão de Crédito
5,983,1772.44,2022-02-08,Cartão de Crédito
6,6389,1597.58,2022-02-02,Pix
7,9120,1871.45,2021-12-15,Cartão de Crédito
8,5278,291.21,2022-12-04,Cartão de Crédito
9,768,1578.99,2024-10-17,Boleto
10,1847,1485.06,2022-07-13,Pix
11,7699,1002.55,2023-12-14,Cartão de Débito
12,9767,1680.31,2024-07-21,Pix
13,2823,1352.05,2023-11-05,Cartão de Crédito
14,8463,1492.05,2023-06-29,Boleto
15,7351,1844.28,2022-09-16,Cartão de Crédito
16,4885,1961.29,2022-04-15,Boleto
17,1568,1205.47,2022-09-16,Cartão de Crédito
18,9501,1453.05,2021-12-06,Pix
19,3449,1857.75,2021-12-13,Pix
20,8743,1927.29,2024-11-01,Cartão de Débito
21,8823,138.75,2024-10-17,Pix
22,6912,577.35,2023-02-21,Pix
23,2648,75.9,2023-09-23,Cartão de Crédito
24,8010,1930.4,2024-07-27,Boleto
25,40,375.16,2022-06-23,Cartão de Crédito
26,185,613.64,2022-03-18,Pix
27,6163,876.53,2024-01-04,Boleto
28,2178,1755.98,2024-10-03,Boleto
29,4651,474.61,2023-01-01,Pix
30,7348,1101.28,2022-07-23,Boleto
31,2991,746.09,2022-07-13,Pix
32,6367,1759.69,2023-03-23,Boleto
33,6154,260.52,2023-04-05,Boleto
34,9582,493.4,2022-02-03,Boleto
35,2801,1567.33,2022-12-29,Boleto
36,4585,295.68,2024-06-18,Cartão de Débito
37,1743,263.67,2024-03-06,Cartão de Crédito
38,6102,704.31,2023-08-28,Boleto
39,820,386.34,2024-07-08,Cartão de Débito
40,8281,1845.63,2022-06-11,Cartão de Débito
41,2757,1550.73,2024-02-21,Pix
42,6733,1934.86,2022-01-05,Boleto
43,6817,593.7,2023-02-01,Cartão de Débito
44,2472,818.47,2023-11-03,Cartão de Débito
45,3082,531.47,2023-11-26,Boleto
46,3699,1273.14,2023-12-15,Pix
47,9306,737.08,2024-02-04,Cartão de Crédito
48,8154,152.3,2023-01-05,Cartão de Crédito
49,623,613.6,2024-03-21,Cartão de Crédito
