id_pedido,id_cliente,data_pedido,valor_total
1,142,2022-11-29,1267.89
2,1377,2023-03-09,359.65
3,5745,2023-06-10,1417.67
4,8813,2024-05-06,1274.74
5,2720,2022-03-01,515.39
6,3662,2022-06-14,1423.19
7,2885,2023-05-31,1144.41
8,1234,2024-07-27,1587.51
9,1121,2022-03-28,1313.42
10,8271,2022-09-29,271.29
11,6929,2022-11-07,1246.42
12,6256,2023-05-04,1787.09
13,7593,2024-03-12,1761.83
14,9717,2022-11-18,1845.36
15,633,2022-04-02,46.16
16,3272,2024-09-01,603.97
17,4859,2024-05-07,1374.64
18,7462,2021-12-06,1858.56
19,8065,2024-07-16,1597.06
20,5055,2023-01-18,1490.77
21,5797,2024-04-04,1427.61
22,5799,2024-08-04,971.87
23,2167,2024-10-31,1100.63
24,1446,2023-05-06,558.69
25,4515,2023-10-09,1571.59
26,9310,2022-02-15,561.18
27,2340,2022-04-19,742.76
28,7305,2023-06-03,1325.47
29,3359,2021-12-23,716.55
30,312,2021-12-08,1109.9
31,4700,2022-02-03,1631.02
32,6524,2022-12-19,835.16
33,3384,2023-01-21,834.51
34,3879,2023-07-18,1439.74
35,2947,2023-06-15,56.63
36,1293,2022-01-14,1789.09
37,4718,2022-11-23,241.15
38,686,2022-07-19,930.29
39,7746,2022-08-04,1407.69
40,5733,2022-03-07,1547.95
41,6096,2023-11-30,1029.79
42,3990,2022-08-19,621.25
43,7079,2022-01-15,1770.26
44,4710,2021-12-10,1311.32
45,5690,2023-02-14,1989.01
46,9092,2023-07-15,546.0
47,9964,2024-03-22,480.54
48,2958,2023-12-31,1782.28
49,5121,2023-01-31,1582.93
50,3154,2023-12-05,1428.54
51,748,2024-06-13,1317.42
52,3670,2024-04-10,900.52
53,5046,2022-11-15,1236.16
54,4009,2024-10-14,654.29
55,1032,2023-09-10,1054.32
56,5037,2023-07-17,980.95
57,6006,2021-12-06,45.49
58,2887,2024-02-29,1065.6
59,4290,2024-03-26,1370.92
60,2972,2022-11-02,1037.16
61,7423,2024-04-13,558.16
62,6339,2023-08-27,445.49
63,5047,2022-05-07,1752.5
64,7606,2024-02-18,1988.13
65,7743,2021-12-09,1563.66
66,5384,2023-04-16,1417.15
67,1287,2022-02-17,942.02
68,4619,2022-04-11,1792.77
69,826,2022-11-03,345.92
70,2602,2024-10-06,530.3
71,9932,2024-06-08,1196.79
72,4194,2023-08-02,1330.77
73,9215,2024-10-07,1270.43
74,1003,2022-11-10,1365.67
75,2674,2024-09-03,295.06
76,5855,2022-06-10,1163.81
77,808,2023-08-20,1806.96
78,5349,2022-06-20,1175.13
79,8923,2024-09-10,235.29
80,9769,2022-08-30,259.14
81,3712,2023-12-15,1486.03
82,161,2023-02-07,646.14
83,7937,2023-07-09,1341.99
84,2302,2023-11-05,510.87
85,5574,2023-02-03,1692.38
86,3052,2024-08-17,1478.76
87,5739,2023-10-23,343.69
88,9506,2024-07-29,348.99
89,4747,2024-11-15,757.25
90,9622,2024-08-31,184.06
91,7121,2022-06-16,1223.16
92,4390,2021-12-02,1439.85
93,34,2022-05-30,61.01
94,1866,2024-03-02,766.71
95,9347,2022-04-09,1715.77
96,6624,2024-02-27,99.23
97,9539,2023-06-27,69.61
98,7373,2024-05-04,101.85
99,9267,2024-10-21,1590.66
100,5725,2023-06-20,1296.71
101,653,2024-02-18,1865.46
102,3724,2022-01-27,1209.62
103,5100,2022-04-11,115.02
104,5851,2023-04-02,836.96
105,1748,2022-03-01,609.92
106,4197,2023-05-04,1236.63
107,1934,2023-09-01,864.71
108,8126,2024-09-16,1054.82
109,68,2022-12-08,1743.05
110,636,2024-04-30,1637.84
111,784,2023-06-05,728.02
112,5760,2022-05-26,1857.66
113,3096,2024-07-22,1682.04
114,6160,2023-12-28,1385.42
115,6650,2024-11-18,104.78
116,9887,2022-08-22,1856.07
117,6077,2022-11-23,1588.64
118,7445,2022-11-24,1915.26
119,6906,2024-07-29,845.61
120,8304,2024-04-04,1866.27
121,4208,2024-11-16,338.58
122,5235,2024-10-30,1868.66
123,5788,2024-09-08,67.6
124,2174,2024-10-13,1926.61
125,5196,2023-02-08,1574.03
126,2200,2021-12-02,738.45
127,6727,2024-08-18,1096.16
128,3400,2023-04-13,1718.12
129,5016,2022-10-26,722.99
130,6634,2022-04-12,1918.06
131,3141,2022-04-14,1845.35
132,4436,2022-08-09,1871.77
133,4055,2024-02-04,1449.18
134,1945,2024-01-14,786.95
135,2969,2021-12-07,1443.09
136,106,2022-10-10,1943.25
137,3661,2024-06-13,971.72
138,249,2024-11-24,321.56
139,5235,2023-08-10,1239.78
140,3703,2023-08-28,671.54
141,4652,2022-12-10,710.67
142,8979,2023-02-06,640.99
143,4891,2022-05-10,1583.94
144,4731,2023-05-03,720.54
145,6456,2023-10-29,1538.19
146,6013,2022-02-21,651.07
147,16,2022-07-14,1976.09
148,3733,2024-11-11,535.55
149,1594,2023-09-27,538.42
150,7156,2022-01-12,1633.85
151,1309,2022-07-12,377.01
152,5719,2022-06-17,1156.34
153,4853,2023-02-13,1011.31
154,2087,2024-09-17,264.34
155,6331,2022-04-01,1006.77
156,9122,2023-04-11,525.04
157,1870,2023-03-13,450.62
158,6152,2022-03-28,1278.91
159,3348,2024-11-26,110.25
160,2916,2024-02-26,99.46
161,2048,2024-08-04,1366.81
162,7817,2022-04-29,563.82
163,274,2022-05-02,1614.38
164,785,2022-04-15,777.08
165,9393,2023-09-27,1931.34
166,9466,2022-02-24,1935.92
167,8706,2022-09-09,1647.17
168,1438,2023-11-16,1469.48
169,8508,2022-05-16,505.5
170,5987,2022-02-07,1182.44
171,9383,2023-10-12,334.34
172,6787,2024-09-17,452.28
173,7499,2022-11-14,1150.54
174,8940,2022-10-11,1082.13
175,8160,2024-05-15,483.65
176,2084,2022-01-17,1407.69
177,9842,2023-05-02,1227.2
178,325,2024-09-27,1494.3
179,6708,2023-02-02,1482.42
180,3804,2022-04-18,1362.97
181,6996,2024-05-27,1391.82
182,426,2024-05-25,477.75
183,8033,2023-01-05,1902.7
184,1159,2022-01-03,350.68
185,760,2022-01-02,1987.53
186,9883,2023-05-10,1253.17
187,1138,2021-12-04,1943.12
188,8252,2024-08-10,1155.85
189,5417,2022-08-07,365.72
190,1352,2022-11-20,458.15
191,4598,2022-04-11,1876.28
192,9719,2024-10-16,816.97
193,2463,2024-04-23,1468.42
194,4277,2023-04-22,553.04
195,6588,2022-06-17,1940.8
196,6794,2024-01-01,1849.05
197,943,2023-03-05,1288.5
198,6841,2023-09-21,603.14
199,7241,2024-02-01,1880.79
200,6520,2022-04-13,875.25
201,7154,2024-07-01,1542.49
202,3008,2024-07-11,1835.14
203,4395,2022-10-21,1828.82
204,9587,2022-02-16,1467.3
205,5400,2024-02-03,941.34
206,437,2021-11-30,635.7
207,5342,2022-10-20,1075.05
208,4541,2023-06-16,1469.81
209,8107,2023-11-12,936.48
210,5976,2024-04-28,1325.27
211,6861,2022-12-29,1684.85
212,9133,2022-08-12,663.11
213,9999,2023-09-29,775.45
214,60,2024-08-17,516.42
215,4250,2022-01-25,279.74
216,7145,2022-08-18,1311.08
217,1256,2022-08-28,170.19
218,3244,2023-10-30,279.52
219,2557,2022-04-20,62.14
220,5362,2023-02-11,513.6
221,2006,2024-04-02,152.97
222,9448,2022-06-08,885.27
223,9260,2024-08-28,1157.39
224,3168,2022-11-22,103.88
225,4393,2024-01-23,1841.15
226,489,2022-06-19,446.86
227,7863,2023-05-07,849.25
228,5891,2023-02-09,590.07
229,2075,2023-06-04,1828.98
230,6452,2022-04-14,1901.18
231,9650,2022-10-18,355.06
232,6788,2023-03-10,1267.42
233,168,2023-06-22,552.83
234,9355,2022-03-09,1794.19
235,766,2024-10-16,1267.75
236,9785,2024-08-18,1536.11
237,1386,2022-10-05,84.57
238,7321,2022-07-04,1592.99
239,8351,2024-01-25,254.32
240,3227,2022-08-17,861.38
241,7099,2024-01-29,1704.85
242,1575,2022-09-16,1885.5
243,7765,2023-04-13,1430.84
244,4499,2023-11-12,1493.27
245,8107,2022-10-25,1201.11
246,8454,2024-07-13,597.29
247,5253,2024-04-19,1119.28
248,302,2022-07-13,1608.27
249,4421,2022-01-25,248.12
250,3523,2021-12-30,1910.3
251,4836,2024-02-25,371.55
252,2611,2022-03-12,658.52
253,8060,2024-09-26,1352.8
254,592,2022-09-19,1992.35
255,9287,2022-03-04,1004.62
256,4342,2022-08-20,1921.21
257,7087,2023-06-02,1743.87
258,4466,2022-11-22,404.03
259,9881,2022-05-20,662.85
260,6414,2022-05-21,889.11
261,4302,2024-05-11,1810.36
262,8216,2024-04-02,453.15
263,8061,2023-05-31,838.92
264,5365,2023-02-10,1284.12
265,7843,2022-10-03,1627.99
266,2629,2022-01-31,1760.41
267,190,2022-05-17,357.21
268,4264,2021-12-28,164.49
269,9994,2022-02-26,1463.13
270,3163,2021-12-11,812.03
271,5453,2022-01-15,1960.16
272,867,2023-10-14,824.35
273,9020,2022-04-22,1445.06
274,9195,2022-01-16,345.32
275,8150,2023-10-02,1975.77
276,4245,2022-01-26,1160.46
277,222,2023-10-20,1684.11
278,8623,2023-04-22,1704.3
279,7701,2023-06-23,1906.77
280,4959,2024-02-27,1395.37
281,2228,2022-11-15,784.51
282,8845,2022-10-12,374.02
283,943,2023-04-24,96.61
284,3906,2023-12-08,784.82
285,7083,2024-08-29,1998.49
286,6803,2023-01-30,1194.38
287,6053,2024-05-10,865.71
288,3106,2022-11-17,119.32
289,2533,2023-05-25,30.69
290,7743,2024-09-13,1146.17
291,9653,2022-04-24,332.7
292,2019,2023-10-14,174.38
293,6396,2024-01-19,1183.77
294,9520,2023-12-30,677.88
295,5121,2024-05-09,971.94
296,8221,2023-05-06,1554.73
297,3306,2022-12-21,1262.02
298,8903,2023-02-25,828.6
299,2413,2023-05-21,1523.17
300,1547,2023-05-10,1538.88
301,6204,2022-05-11,1040.04
302,7509,2023-02-17,246.81
303,6941,2023-01-20,1546.09
304,3311,2022-11-12,1300.17
305,446,2022-04-15,103.88
306,5869,2023-07-02,1580.23
307,2572,2022-04-21,131.39
308,8730,2024-07-15,803.42
309,3701,2022-01-24,1270.79
310,7205,2022-02-17,1839.64
311,5748,2023-02-06,977.6
